YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,EQ_PRIMARY,COUNTRY,STATE,LATITUDE,LONGITUDE,DEATHS,Depth
2002,3.0,5.0,21.0,16.0,9.1,7.5,PHILIPPINES,no info,6.0329999999999995,124.249,15.0,31.0
2002,3.0,25.0,14.0,56.0,33.8,6.1,AFGHANISTAN,no info,36.062,69.315,1000.0,8.0
2002,3.0,26.0,3.0,45.0,48.7,6.4,JAPAN,no info,23.346,124.09,0.0,33.0
2002,3.0,31.0,6.0,52.0,50.4,7.1,TAIWAN,no info,24.279,122.179,5.0,33.0
2002,4.0,1.0,19.0,59.0,32.4,6.4,CHILE,no info,-29.67,-71.384,0.0,71.0
2002,4.0,12.0,4.0,0.0,23.7,5.9,TAJIKISTAN,no info,39.959,69.417,50.0,10.0
2002,4.0,18.0,16.0,8.0,36.7,6.6,CHILE,no info,-27.535,-70.586,0.0,62.0
2002,4.0,20.0,10.0,50.0,47.5,5.2,USA,NY,44.513000000000005,-73.699,0.0,11.0
2002,4.0,24.0,10.0,51.0,50.9,5.7,SERBIA,no info,42.43600000000001,21.465999999999998,1.0,10.0
2002,4.0,24.0,19.0,48.0,7.1,5.4,IRAN,no info,34.641999999999996,47.4,2.0,33.0
2002,4.0,25.0,17.0,41.0,21.5,4.3,GEORGIA,no info,41.765,44.96,5.0,10.0
2002,4.0,26.0,16.0,6.0,7.0,7.1,USA TERRITORY,GU,13.088,144.619,0.0,86.0
2002,5.0,18.0,15.0,15.0,8.8,5.5,TANZANIA,no info,-2.907,33.733000000000004,2.0,10.0
2002,5.0,28.0,4.0,4.0,22.5,6.0,ARGENTINA,no info,-28.936999999999998,-66.797,0.0,22.0
2002,6.0,20.0,5.0,40.0,43.3,4.5,BANGLADESH,no info,25.842,88.932,0.0,40.0
2002,6.0,22.0,2.0,58.0,21.3,6.5,IRAN,no info,35.626,49.047,261.0,10.0
2002,7.0,22.0,5.0,45.0,3.0,4.8,GERMANY,no info,50.888999999999996,6.103,0.0,17.0
2002,7.0,31.0,0.0,16.0,44.6,6.5,PANAMA,no info,7.928999999999999,-82.79299999999999,0.0,10.0
2002,8.0,8.0,11.0,42.0,5.0,5.3,CHINA,no info,30.916,99.927,0.0,33.0
2002,8.0,14.0,13.0,57.0,52.1,6.5,USA TERRITORY,MP,14.100999999999999,146.19899999999998,0.0,30.0
2002,8.0,15.0,5.0,30.0,26.2,6.2,INDONESIA,no info,-1.196,121.333,48.0,10.0
2002,8.0,19.0,11.0,1.0,1.1,7.7,FIJI,no info,-21.695999999999998,-179.513,0.0,580.0
2002,8.0,19.0,11.0,8.0,24.3,7.7,FIJI,no info,-23.884,178.495,0.0,675.0
2002,8.0,24.0,20.0,1.0,18.3,4.4,EGYPT,no info,30.2,31.41,0.0,10.0
2002,9.0,2.0,1.0,0.0,3.2,5.2,IRAN,no info,35.701,48.838,0.0,10.0
2002,9.0,5.0,11.0,3.0,5.8,5.5,KYRGYZSTAN,no info,39.77,72.007,0.0,32.0
2002,9.0,6.0,1.0,21.0,28.6,6.0,ITALY,no info,38.381,13.700999999999999,2.0,5.0
2002,9.0,8.0,18.0,44.0,25.5,7.6,PAPUA NEW GUINEA,no info,-3.26,142.94,4.0,13.0
2002,9.0,13.0,22.0,28.0,29.4,6.5,INDIA,no info,13.036,93.068,2.0,21.0
2002,9.0,20.0,15.0,43.0,35.4,6.4,INDONESIA,no info,-1.68,134.234,0.0,10.0
2002,9.0,22.0,23.0,53.0,14.6,4.8,UK,no info,52.52,-2.15,0.0,9.0
2002,9.0,25.0,18.0,14.0,48.5,5.3,MEXICO,no info,16.87,-100.113,0.0,6.0
2002,9.0,25.0,22.0,28.0,11.9,5.6,IRAN,no info,31.995,49.32899999999999,0.0,10.0
2002,9.0,30.0,6.0,44.0,48.0,4.2,FRANCE,no info,47.832,-3.207,0.0,10.0
2002,10.0,10.0,10.0,50.0,20.5,7.6,INDONESIA,no info,-1.757,134.297,8.0,10.0
2002,10.0,23.0,11.0,27.0,19.4,6.7,USA,AK,63.513999999999996,-147.912,0.0,4.0
2002,10.0,24.0,6.0,8.0,37.9,6.2,CONGO,no info,-1.8840000000000001,29.004,2.0,11.0
2002,10.0,29.0,10.0,2.0,21.5,4.3,ITALY,no info,37.67,15.267000000000001,0.0,10.0
2002,10.0,31.0,10.0,32.0,58.7,5.7,ITALY,no info,41.788999999999994,14.872,29.0,10.0
2002,11.0,1.0,22.0,9.0,29.2,5.4,PAKISTAN,no info,35.516999999999996,74.654,11.0,33.0
2002,11.0,2.0,1.0,26.0,10.7,7.3,INDONESIA,no info,2.824,96.085,3.0,30.0
2002,11.0,3.0,22.0,12.0,41.0,7.9,USA,AK,63.516999999999996,-147.444,0.0,5.0
2002,11.0,20.0,21.0,32.0,30.8,6.3,PAKISTAN,no info,35.414,74.515,19.0,33.0
2002,11.0,27.0,16.0,43.0,17.5,5.9,VANUATU,no info,-14.49,167.827,0.0,33.0
2002,12.0,2.0,4.0,58.0,55.1,5.7,GREECE,no info,37.747,21.087,0.0,10.0
2002,12.0,14.0,13.0,27.0,29.1,5.5,CHINA,no info,39.736,97.443,2.0,22.0
2002,12.0,24.0,17.0,3.0,2.9,5.2,IRAN,no info,34.594,47.45399999999999,0.0,33.0
2002,12.0,25.0,12.0,57.0,3.2,5.7,CHINA,no info,39.57,75.25399999999999,0.0,10.0
2002,12.0,25.0,19.0,13.0,42.7,5.5,AFGHANISTAN,no info,35.704,69.868,0.0,91.0
2003,1.0,11.0,17.0,45.0,30.6,5.2,IRAN,no info,29.59,51.474,0.0,33.0
2003,1.0,20.0,8.0,43.0,6.0,7.3,SOLOMON ISLANDS,no info,-10.491,160.77,0.0,33.0
2003,1.0,22.0,2.0,6.0,34.6,7.5,MEXICO,no info,18.77,-104.104,29.0,24.0
2003,1.0,23.0,0.0,8.0,22.8,5.5,INDONESIA,no info,-8.807,118.524,0.0,33.0
2003,1.0,26.0,19.0,57.0,3.2,4.7,ITALY,no info,43.883,11.96,0.0,7.0
2003,1.0,27.0,5.0,26.0,23.0,6.1,TURKEY,no info,39.5,39.878,1.0,10.0
2003,2.0,13.0,17.0,34.0,20.9,5.3,CHINA,no info,43.897,85.92299999999999,0.0,24.0
2003,2.0,15.0,5.0,47.0,58.9,5.8,PHILIPPINES,no info,12.171,123.921,0.0,10.0
2003,2.0,15.0,11.0,1.0,59.8,6.3,PHILIPPINES,no info,12.168,124.079,0.0,10.0
2003,2.0,22.0,12.0,19.0,10.5,5.2,USA,CA,34.31,-116.848,0.0,1.0
2003,2.0,22.0,20.0,41.0,3.4,5.0,FRANCE,no info,48.342,6.57,0.0,10.0
2003,2.0,24.0,2.0,3.0,41.4,6.3,CHINA,no info,39.61,77.23,261.0,11.0
2003,2.0,25.0,3.0,52.0,41.0,5.4,CHINA,no info,39.483000000000004,77.393,5.0,10.0
2003,3.0,21.0,11.0,38.0,20.0,4.6,INDONESIA,no info,-6.983,108.46799999999999,0.0,33.0
2003,3.0,22.0,13.0,36.0,16.0,4.7,GERMANY,no info,48.21,9.0,0.0,6.0
2003,3.0,25.0,2.0,53.0,25.0,6.5,INDONESIA,no info,-8.294,120.743,4.0,33.0
2003,3.0,25.0,18.0,51.0,26.3,5.5,BHUTAN,no info,27.264,89.331,0.0,47.0
2003,4.0,10.0,0.0,40.0,15.1,5.7,TURKEY,no info,38.221,26.958000000000002,0.0,10.0
2003,4.0,17.0,0.0,48.0,38.5,6.4,CHINA,no info,37.529,96.476,0.0,14.0
2003,4.0,29.0,8.0,59.0,39.0,4.6,USA,AL,34.494,-85.62899999999999,0.0,20.0
2003,5.0,1.0,0.0,27.0,4.7,6.4,TURKEY,no info,39.007,40.464,177.0,10.0
2003,5.0,4.0,15.0,44.0,35.5,5.8,CHINA,no info,39.43,77.219,1.0,10.0
2003,5.0,21.0,18.0,44.0,20.1,6.8,ALGERIA,no info,36.964,3.634,2266.0,12.0
2003,5.0,26.0,9.0,24.0,33.4,7.0,JAPAN,no info,38.849000000000004,141.56799999999998,0.0,68.0
2003,5.0,26.0,19.0,23.0,27.9,7.0,INDONESIA,no info,2.354,128.855,1.0,31.0
2003,5.0,27.0,17.0,11.0,28.8,5.7,ALGERIA,no info,36.939,3.5780000000000003,9.0,8.0
2003,6.0,6.0,12.0,29.0,34.0,4.0,USA,KY,36.87,-88.98,0.0,3.0
2003,6.0,9.0,7.0,6.0,39.3,5.2,GREECE,no info,39.893,22.309,0.0,18.0
2003,6.0,20.0,13.0,30.0,41.6,6.8,CHILE,no info,-30.608,-71.637,0.0,33.0
2003,7.0,3.0,14.0,59.0,32.2,5.2,IRAN,no info,35.476,60.784,0.0,41.0
2003,7.0,10.0,17.0,6.0,37.6,5.8,IRAN,no info,28.355,54.169,1.0,10.0
2003,7.0,15.0,20.0,27.0,50.5,7.6,INDIAN OCEAN,no info,-2.5980000000000003,68.382,0.0,10.0
2003,7.0,21.0,15.0,16.0,31.9,5.9,CHINA,no info,25.975,101.29,16.0,10.0
2003,7.0,25.0,15.0,13.0,7.7,5.5,JAPAN,no info,38.431999999999995,141.003,0.0,10.0
2003,7.0,26.0,1.0,0.0,57.6,4.5,TURKEY,no info,38.111,28.886999999999997,0.0,10.0
2003,7.0,26.0,8.0,36.0,49.1,5.4,TURKEY,no info,38.019,28.927,0.0,10.0
2003,7.0,26.0,23.0,18.0,17.9,5.7,BANGLADESH,no info,22.854,92.306,2.0,10.0
2003,8.0,4.0,4.0,37.0,20.1,7.6,ANTARCTICA,no info,-60.532,-43.411,0.0,10.0
2003,8.0,11.0,0.0,19.0,9.2,6.0,INDONESIA,no info,1.1420000000000001,128.15200000000002,0.0,10.0
2003,8.0,13.0,8.0,29.0,27.2,5.4,PANAMA,no info,9.355,-79.941,0.0,54.0
2003,8.0,14.0,5.0,14.0,54.7,6.3,GREECE,no info,39.16,20.605,0.0,10.0
2003,8.0,16.0,10.0,58.0,42.7,5.4,CHINA,no info,43.77,119.64299999999999,4.0,24.0
2003,8.0,18.0,9.0,3.0,3.5,5.5,CHINA,no info,29.573,95.605,0.0,33.0
2003,8.0,21.0,12.0,12.0,49.7,7.2,NEW ZEALAND,no info,-45.104,167.144,0.0,28.0
2003,9.0,14.0,21.0,42.0,51.8,5.3,ITALY,no info,44.32899999999999,11.45,0.0,10.0
2003,9.0,20.0,3.0,54.0,50.7,5.7,JAPAN,no info,34.998000000000005,140.172,0.0,52.0
2003,9.0,21.0,18.0,16.0,13.4,6.6,MYANMAR (BURMA),no info,19.917,95.67200000000001,0.0,10.0
2003,9.0,22.0,4.0,45.0,36.2,6.4,DOMINICAN REPUBLIC,no info,19.777,-70.673,3.0,10.0
2003,9.0,25.0,19.0,50.0,6.3,8.3,JAPAN,no info,41.815,143.91,0.0,27.0
2003,9.0,27.0,11.0,33.0,25.0,7.3,RUSSIA,no info,50.038000000000004,87.81299999999999,3.0,16.0
2003,9.0,29.0,15.0,27.0,1.0,4.4,RUSSIA,no info,50.0,87.89,0.0,10.0
2003,9.0,29.0,18.0,22.0,32.0,4.8,NEW ZEALAND,no info,-43.34,173.04,0.0,32.0
2003,10.0,1.0,1.0,3.0,25.2,6.7,RUSSIA,no info,50.211000000000006,87.721,0.0,10.0
2003,10.0,15.0,7.0,30.0,35.9,5.2,JAPAN,no info,35.457,139.871,0.0,78.0
2003,10.0,16.0,3.0,20.0,55.3,4.5,DOMINICAN REPUBLIC,no info,19.761,-70.693,0.0,10.0
2003,10.0,16.0,12.0,28.0,9.0,5.6,CHINA,no info,25.954,101.25399999999999,3.0,33.0
